iter	MultiClass
279	0.16347512
280	0.1627074907
281	0.161916854
282	0.1611091213
283	0.1603502969
284	0.1596880454
285	0.1587436016
286	0.157984288
287	0.1572848803
288	0.1566963829
289	0.1560795873
290	0.1552248939
291	0.154468715
292	0.1535647247
293	0.1528194071
294	0.151990555
295	0.151421675
296	0.1508730046
297	0.1502114689
298	0.149595665
299	0.1489940906
300	0.1485351154
301	0.1480841187
302	0.1474561315
303	0.1466893044
304	0.1462890942
305	0.1457133237
306	0.1450544528
307	0.1444169523
308	0.1438171407
309	0.1432128567
310	0.1426894489
311	0.1421550897
312	0.1415949625
313	0.1410592456
314	0.1405486306
315	0.1398292617
316	0.1392207606
317	0.1387394521
318	0.1383599983
319	0.137897781
320	0.137252194
321	0.1368886194
322	0.1361762529
323	0.1356429423
324	0.1353376651
325	0.1347620202
326	0.1343254706
327	0.1336944975
328	0.1330209383
329	0.1325645915
330	0.132052618
331	0.1317349948
332	0.1313488573
333	0.1308326773
334	0.1302309967
335	0.1298072429
336	0.1293116293
337	0.1288497958
338	0.1283163108
339	0.127808745
340	0.1273329535
341	0.1268072235
342	0.1262630101
343	0.1256011636
344	0.1251778605
345	0.124767221
346	0.1244410621
347	0.1239564233
348	0.123452309
349	0.1228677288
350	0.1223673497
351	0.1219390504
352	0.1214615289
353	0.1210112614
354	0.1207235681
355	0.1202444798
356	0.1198080347
357	0.1193641133
358	0.1190673474
359	0.1185276163
360	0.1181783318
361	0.1177985725
362	0.1174317742
363	0.1169091955
364	0.1164483357
365	0.1160092669
366	0.1155768437
367	0.1151631655
368	0.114741567
369	0.1144437299
370	0.1141507535
371	0.1137033321
372	0.1132944165
373	0.1127269418
374	0.1124606603
375	0.1121537393
376	0.1116088536
377	0.1113524468
378	0.110967105
379	0.1106419883
380	0.1103197796
381	0.1099581593
382	0.1095573368
383	0.1092100167
384	0.1087804659
385	0.1084571629
386	0.108040441
387	0.1076930355
388	0.1071971987
389	0.1068478508
390	0.1066454662
391	0.106239541
392	0.105875717
393	0.1054869686
394	0.105130268
395	0.1049147433
396	0.1046234707
397	0.1042198794
398	0.1038637703
399	0.1036465257
400	0.1032332223
401	0.1029017298
402	0.1025414028
403	0.1022250661
404	0.1019595819
405	0.1016752596
406	0.1013310322
407	0.1010754103
408	0.1006636422
409	0.1003177693
410	0.100110088
411	0.09976207926
412	0.09946322376
413	0.09929034734
414	0.09896895913
415	0.09871477583
416	0.09847275034
417	0.09812533408
418	0.09796866959
419	0.09770260713
420	0.09733698327
421	0.09706411057
422	0.09669734028
423	0.09642664472
424	0.09619723255
425	0.09593368802
426	0.0955601819
427	0.09535222986
428	0.09520784649
429	0.09487868175
430	0.09470382499
431	0.09436718203
432	0.09408079452
433	0.09388757023
434	0.09357609548
435	0.09330860931
436	0.09302960862
437	0.09283516871
438	0.09256018926
439	0.0923137579
440	0.09205090067
441	0.09177031789
442	0.09164176675
443	0.0913994378
444	0.0911849879
445	0.09083979688
446	0.09049759658
447	0.09019634101
448	0.08995381102
449	0.08961644794
450	0.08935029801
451	0.08905386057
452	0.08883865791
453	0.08855063826
454	0.08825810878
455	0.08801909663
456	0.08774818931
457	0.08755440002
458	0.08742695973
459	0.08712050885
460	0.08689000559
461	0.08666984724
462	0.08642694902
463	0.08616501539
464	0.08595139735
465	0.08582263565
466	0.08560835587
467	0.08549087838
468	0.08530185224
469	0.08504157162
470	0.08479782772
471	0.08455589488
472	0.08439210342
473	0.08410044698
474	0.0838211753
475	0.08361341841
476	0.08338832631
477	0.08317844791
478	0.08289988824
479	0.08266374772
480	0.08248061155
481	0.08226972577
482	0.08205867002
483	0.08181110895
484	0.08158329791
485	0.08141984644
486	0.08126676012
487	0.08106796664
488	0.08086408336
489	0.08065871407
490	0.0804802069
491	0.08024939821
492	0.08004944876
493	0.0798521193
494	0.07974718495
495	0.07952145662
496	0.07935176968
497	0.07914576413
498	0.07902799378
499	0.0788383511
500	0.07863318523
501	0.07839890528
502	0.07823293569
503	0.07803363353
504	0.07794069946
505	0.07772918418
506	0.0774734213
507	0.07724792505
508	0.07699532259
509	0.07688097016
510	0.07667347366
511	0.07649629394
512	0.07627811788
513	0.07610934245
514	0.07590959942
515	0.07564175596
516	0.07548623007
517	0.07537617191
518	0.07527437214
519	0.07507434526
520	0.07487559717
521	0.07473068269
522	0.07449443423
523	0.07434117155
524	0.07425437697
525	0.07408767778
526	0.07393951083
527	0.07384104043
528	0.07370895564
529	0.07351603736
530	0.07332617013
531	0.07314259021
532	0.07298914763
533	0.07280100643
534	0.07266419591
535	0.0724707355
536	0.07225588714
537	0.07203040209
538	0.07187828676
539	0.07174502612
540	0.07157230686
541	0.07138557725
542	0.07119850255
543	0.07102908413
544	0.07088024398
545	0.0707378306
546	0.070565028
547	0.07036943627
548	0.07018706669
549	0.07002859757
550	0.06990218438
551	0.06968633191
552	0.06952416905
553	0.06937782682
554	0.06924687295
555	0.06906122895
556	0.06883961751
557	0.06869435319
558	0.06850980067
559	0.06836379974
560	0.06820071886
561	0.06802032335
562	0.06786963301
563	0.06774828307
564	0.06758362834
565	0.06739374483
566	0.06732756864
567	0.06726059993
568	0.06710321196
569	0.06694533675
570	0.06675440985
571	0.06658847037
572	0.06642292073
573	0.0663537494
574	0.06623245342
575	0.06607320239
576	0.06588940383
577	0.06571759467
578	0.0655351927
579	0.0654360411
580	0.06530625666
581	0.06519108531
582	0.06508916365
583	0.06491743819
584	0.06470556962
585	0.06451562198
586	0.06437654216
587	0.06429949336
588	0.06413008561
589	0.06396612265
590	0.06382940825
591	0.06373187284
592	0.06360146008
593	0.06343926765
594	0.06328457639
595	0.06317835269
596	0.06307088378
597	0.06300595413
598	0.06290331747
599	0.06274503937
